canonical_symbol,binance_symbol,delta_symbol,listed_on_binance,listed_on_delta
PIEVERSE,PIEVERSEUSDT,,True,False
PIPPIN,PIPPINUSDT,,True,False
PIXEL,PIXELUSDT,,True,False
PLAY,PLAYUSDT,,True,False
PLUME,PLUMEUSDT,,True,False
PNUT,PNUTUSDT,,True,False
POL,POLUSDT,,True,False
POLYX,POLYXUSDT,,True,False
POPCAT,POPCATUSDT,,True,False
PORTAL,PORTALUSDT,,True,False
POWER,POWERUSDT,,True,False
POWR,POWRUSDT,,True,False
PRL,PRLUSDT,,True,False
PROM,PROMUSDT,,True,False
PROMPT,PROMPTUSDT,,True,False
PROVE,PROVEUSDT,,True,False
PTB,PTBUSDT,,True,False
PUMP,PUMPUSDT,,True,False
PUMPBTC,PUMPBTCUSDT,,True,False
PUNDIX,PUNDIXUSDT,,True,False
PYTH,PYTHUSDT,,True,False
Q,QUSDT,,True,False
QNT,QNTUSDT,,True,False
QTUM,QTUMUSDT,,True,False
RARE,RAREUSDT,,True,False
RAVE,RAVEUSDT,,True,False
RAYSOL,RAYSOLUSDT,,True,False
RECALL,RECALLUSDT,,True,False
RED,REDUSDT,,True,False
RENDER,RENDERUSDT,,True,False
RESOLV,RESOLVUSDT,,True,False
REZ,REZUSDT,,True,False
RIF,RIFUSDT,,True,False
RIVER,RIVERUSDT,,True,False
RLC,RLCUSDT,,True,False
ROBO,ROBOUSDT,,True,False
RONIN,RONINUSDT,,True,False
ROSE,ROSEUSDT,,True,False
RPL,RPLUSDT,,True,False
RSR,RSRUSDT,,True,False
RUNE,RUNEUSDT,,True,False
RVN,RVNUSDT,,True,False
S,SUSDT,,True,False
SAFE,SAFEUSDT,,True,False
SAGA,SAGAUSDT,,True,False
SAHARA,SAHARAUSDT,,True,False
SAND,SANDUSDT,,True,False
SANTOS,SANTOSUSDT,,True,False
SAPIEN,SAPIENUSDT,,True,False
SCR,SCRUSDT,,True,False
SCRT,SCRTUSDT,,True,False
SEI,SEIUSDT,,True,False
SENT,SENTUSDT,,True,False
SFP,SFPUSDT,,True,False
SHELL,SHELLUSDT,,True,False
SIGN,SIGNUSDT,,True,False
SIREN,SIRENUSDT,,True,False
SKL,SKLUSDT,,True,False
SKR,SKRUSDT,,True,False
SKY,SKYUSDT,,True,False
SKYAI,SKYAIUSDT,,True,False
SLP,SLPUSDT,,True,False
SNX,SNXUSDT,,True,False
SOL,SOLUSDT,SOLUSD,True,True
SOLV,SOLVUSDT,,True,False
SOMI,SOMIUSDT,,True,False
SONIC,SONICUSDT,,True,False
SOON,SOONUSDT,,True,False
SOPH,SOPHUSDT,,True,False
SPACE,SPACEUSDT,,True,False
SPELL,SPELLUSDT,,True,False
SPK,SPKUSDT,,True,False
SPORTFUN,SPORTFUNUSDT,,True,False
SPX,SPXUSDT,,True,False
SQD,SQDUSDT,,True,False
SSV,SSVUSDT,,True,False
STABLE,STABLEUSDT,,True,False
STBL,STBLUSDT,,True,False
STEEM,STEEMUSDT,,True,False
STG,STGUSDT,,True,False
STO,STOUSDT,,True,False
STORJ,STORJUSDT,,True,False
STRK,STRKUSDT,,True,False
STX,STXUSDT,,True,False
SUI,SUIUSDT,,True,False
SUN,SUNUSDT,,True,False
SUPER,SUPERUSDT,,True,False
SUSHI,SUSHIUSDT,,True,False
SWARMS,SWARMSUSDT,,True,False
SXT,SXTUSDT,,True,False
SYN,SYNUSDT,,True,False
SYRUP,SYRUPUSDT,,True,False
SYS,SYSUSDT,,True,False
T,TUSDT,,True,False
TA,TAUSDT,,True,False
TAC,TACUSDT,,True,False
TAG,TAGUSDT,,True,False
TAIKO,TAIKOUSDT,,True,False
TAKE,TAKEUSDT,,True,False
TAO,TAOUSDT,,True,False
THE,THEUSDT,,True,False
THETA,THETAUSDT,,True,False
TIA,TIAUSDT,,True,False
TLM,TLMUSDT,,True,False
TNSR,TNSRUSDT,,True,False
TON,TONUSDT,,True,False
TOSHI,TOSHIUSDT,,True,False
TOWNS,TOWNSUSDT,,True,False
TRADOOR,TRADOORUSDT,,True,False
TRB,TRBUSDT,,True,False
TREE,TREEUSDT,,True,False
TRIA,TRIAUSDT,,True,False
TRUMP,TRUMPUSDT,,True,False
TRUST,TRUSTUSDT,,True,False
TRUTH,TRUTHUSDT,,True,False
TRX,TRXUSDT,,True,False
TST,TSTUSDT,,True,False
TURBO,TURBOUSDT,,True,False
TURTLE,TURTLEUSDT,,True,False
TUT,TUTUSDT,,True,False
TWT,TWTUSDT,,True,False
UAI,UAIUSDT,,True,False
UB,UBUSDT,,True,False
UMA,UMAUSDT,,True,False
UNI,UNIUSDT,,True,False
US,USUSDT,,True,False
USDC,USDCUSDT,,True,False
USELESS,USELESSUSDT,,True,False
USTC,USTCUSDT,,True,False
USUAL,USUALUSDT,,True,False
VANA,VANAUSDT,,True,False
VANRY,VANRYUSDT,,True,False
VELODROME,VELODROMEUSDT,,True,False
VELVET,VELVETUSDT,,True,False
VET,VETUSDT,,True,False
VIC,VICUSDT,,True,False
VIRTUAL,VIRTUALUSDT,,True,False
VTHO,VTHOUSDT,,True,False
VVV,VVVUSDT,,True,False
W,WUSDT,,True,False
WAL,WALUSDT,,True,False
WAXP,WAXPUSDT,,True,False
WCT,WCTUSDT,,True,False
WET,WETUSDT,,True,False
WIF,WIFUSDT,,True,False
WLD,WLDUSDT,,True,False
WLFI,WLFIUSDT,,True,False
WOO,WOOUSDT,,True,False
XAI,XAIUSDT,,True,False
XAN,XANUSDT,,True,False
XAUT,XAUTUSDT,,True,False
XLM,XLMUSDT,,True,False
XMR,XMRUSDT,,True,False
XNY,XNYUSDT,,True,False
XPIN,XPINUSDT,,True,False
XPL,XPLUSDT,,True,False
XRP,XRPUSDT,XRPUSD,True,True
XTZ,XTZUSDT,,True,False
XVG,XVGUSDT,,True,False
XVS,XVSUSDT,,True,False
YB,YBUSDT,,True,False
YFI,YFIUSDT,,True,False
YGG,YGGUSDT,,True,False
ZAMA,ZAMAUSDT,,True,False
ZBT,ZBTUSDT,,True,False
ZEC,ZECUSDT,,True,False
ZEN,ZENUSDT,,True,False
ZEREBRO,ZEREBROUSDT,,True,False
ZETA,ZETAUSDT,,True,False
ZIL,ZILUSDT,,True,False
ZK,ZKUSDT,,True,False
ZKC,ZKCUSDT,,True,False
ZKP,ZKPUSDT,,True,False
ZORA,ZORAUSDT,,True,False
ZRO,ZROUSDT,,True,False
ZRX,ZRXUSDT,,True,False
币安人生,币安人生USDT,,True,False
我踏马来了,我踏马来了USDT,,True,False
龙虾,龙虾USDT,,True,False
